Senegal,3363.74,"3,363.74"
Serbia,16207.34,"16,207.34"
Seychelles,27668.94,"27,668.94"
Sierra Leone,1475.73,"1,475.73"
Singapore,90080.16,"90,080.16"
Slovak Republic,31987.96,"31,987.96"
Slovenia,33578.75,"33,578.75"
Solomon Islands,2010.16,"2,010.16"
South Africa,12007.45,"12,007.45"
South Sudan,1398.85,"1,398.85"
Spain,36311.32,"36,311.32"
Sri Lanka,12132.72,"12,132.72"
St. Kitts and Nevis,26695.27,"26,695.27"
St. Lucia,12651.56,"12,651.56"
St. Vincent and the Grenadines,10873.0,"10,873.00"
Sudan,3554.73,"3,554.73"
Suriname,13559.76,"13,559.76"
Sweden,47691.91,"47,691.91"
Switzerland,57791.11,"57,791.11"
Taiwan Province of China,48084.88,"48,084.88"
Tajikistan,3133.45,"3,133.45"
Tanzania,2970.38,"2,970.38"
Thailand,17778.84,"17,778.84"
Timor-Leste,4587.0,"4,587.00"
Togo,1593.98,"1,593.98"
Tonga,5662.36,"5,662.36"
Trinidad and Tobago,28561.35,"28,561.35"
Tunisia,11053.65,"11,053.65"
Turkey,24675.53,"24,675.53"
Turkmenistan,17819.13,"17,819.13"
Tuvalu,3733.84,"3,733.84"
Uganda,2296.54,"2,296.54"
Ukraine,8533.55,"8,533.55"
United Arab Emirates,60618.56,"60,618.56"
United Kingdom,40881.3,"40,881.30"
United States,56844.31,"56,844.31"
Uruguay,20586.49,"20,586.49"
Uzbekistan,7856.91,"7,856.91"
Vanuatu,2581.17,"2,581.17"
Vietnam,7041.59,"7,041.59"
Yemen,1990.84,"1,990.84"
Zambia,3621.35,"3,621.35"
Zimbabwe,2358.9,"2,358.90"
